2025-08-28 11:51:26 | INFO     | lib.data_store:print_summary:213 | trades                        :      1 records (latest: 2025-08-28 11:50:46.885586)
2025-08-28 11:51:26 | INFO     | lib.data_store:print_summary:215 | userEvents                    :      0 records
2025-08-28 11:51:26 | INFO     | lib.data_store:print_summary:215 | userFills                     :      0 records
2025-08-28 11:51:26 | INFO     | lib.data_store:print_summary:213 | candle                        :      2 records (latest: 2025-08-28 11:51:21.154601)
2025-08-28 11:51:26 | INFO     | lib.data_store:print_summary:215 | orderUpdates                  :      0 records
2025-08-28 11:51:26 | INFO     | lib.data_store:print_summary:213 | userFundings                  :      1 records (latest: 2025-08-28 11:50:46.888956)
2025-08-28 11:51:26 | INFO     | lib.data_store:print_summary:213 | userNonFundingLedgerUpdates   :      1 records (latest: 2025-08-28 11:50:46.891072)
2025-08-28 11:51:26 | INFO     | lib.data_store:print_summary:213 | webData2                      :      9 records (latest: 2025-08-28 11:51:25.762351)
2025-08-28 11:51:26 | INFO     | lib.data_store:print_summary:213 | bbo                           :     67 records (latest: 2025-08-28 11:51:24.465802)
2025-08-28 11:51:26 | INFO     | lib.data_store:print_summary:213 | activeAssetCtx                :     78 records (latest: 2025-08-28 11:51:25.783301)
2025-08-28 11:51:26 | INFO     | lib.data_store:print_summary:213 | activeAssetData               :      9 records (latest: 2025-08-28 11:51:24.990212)
2025-08-28 11:51:26 | INFO     | lib.data_store:print_summary:216 | ============================================================
2025-08-28 11:51:36 | INFO     | lib.data_store:print_summary:208 | Subscription Data Summary:
2025-08-28 11:51:36 | INFO     | lib.data_store:print_summary:209 | ============================================================
2025-08-28 11:51:36 | INFO     | lib.data_store:print_summary:213 | allMids                       :     48 records (latest: 2025-08-28 11:51:36.165096)
2025-08-28 11:51:36 | INFO     | lib.data_store:print_summary:213 | l2Book                        :     84 records (latest: 2025-08-28 11:51:36.015028)
2025-08-28 11:51:36 | INFO     | lib.data_store:print_summary:213 | trades                        :      1 records (latest: 2025-08-28 11:50:46.885586)
2025-08-28 11:51:36 | INFO     | lib.data_store:print_summary:215 | userEvents                    :      0 records
2025-08-28 11:51:36 | INFO     | lib.data_store:print_summary:215 | userFills                     :      0 records
2025-08-28 11:51:36 | INFO     | lib.data_store:print_summary:213 | candle                        :      2 records (latest: 2025-08-28 11:51:21.154601)
2025-08-28 11:51:36 | INFO     | lib.data_store:print_summary:215 | orderUpdates                  :      0 records
2025-08-28 11:51:36 | INFO     | lib.data_store:print_summary:213 | userFundings                  :      1 records (latest: 2025-08-28 11:50:46.888956)
2025-08-28 11:51:36 | INFO     | lib.data_store:print_summary:213 | userNonFundingLedgerUpdates   :      1 records (latest: 2025-08-28 11:50:46.891072)
2025-08-28 11:51:36 | INFO     | lib.data_store:print_summary:213 | webData2                      :     11 records (latest: 2025-08-28 11:51:35.918892)
2025-08-28 11:51:36 | INFO     | lib.data_store:print_summary:213 | bbo                           :     74 records (latest: 2025-08-28 11:51:35.927290)
2025-08-28 11:51:36 | INFO     | lib.data_store:print_summary:213 | activeAssetCtx                :     98 records (latest: 2025-08-28 11:51:36.167241)
2025-08-28 11:51:36 | INFO     | lib.data_store:print_summary:213 | activeAssetData               :     11 records (latest: 2025-08-28 11:51:35.136787)
2025-08-28 11:51:36 | INFO     | lib.data_store:print_summary:216 | ============================================================
2025-08-28 11:51:46 | INFO     | lib.data_store:print_summary:208 | Subscription Data Summary:
2025-08-28 11:51:46 | INFO     | lib.data_store:print_summary:209 | ============================================================
2025-08-28 11:51:46 | INFO     | lib.data_store:print_summary:213 | allMids                       :     57 records (latest: 2025-08-28 11:51:46.043491)
2025-08-28 11:51:46 | INFO     | lib.data_store:print_summary:213 | l2Book                        :    101 records (latest: 2025-08-28 11:51:46.314854)
2025-08-28 11:51:46 | INFO     | lib.data_store:print_summary:213 | trades                        :      1 records (latest: 2025-08-28 11:50:46.885586)
2025-08-28 11:51:46 | INFO     | lib.data_store:print_summary:215 | userEvents                    :      0 records
2025-08-28 11:51:46 | INFO     | lib.data_store:print_summary:215 | userFills                     :      0 records
2025-08-28 11:51:46 | INFO     | lib.data_store:print_summary:213 | candle                        :      2 records (latest: 2025-08-28 11:51:21.154601)
2025-08-28 11:51:46 | INFO     | lib.data_store:print_summary:215 | orderUpdates                  :      0 records
2025-08-28 11:51:46 | INFO     | lib.data_store:print_summary:213 | userFundings                  :      1 records (latest: 2025-08-28 11:50:46.888956)
2025-08-28 11:51:46 | INFO     | lib.data_store:print_summary:213 | userNonFundingLedgerUpdates   :      1 records (latest: 2025-08-28 11:50:46.891072)
2025-08-28 11:51:46 | INFO     | lib.data_store:print_summary:213 | webData2                      :     13 records (latest: 2025-08-28 11:51:46.001926)
2025-08-28 11:51:46 | INFO     | lib.data_store:print_summary:213 | bbo                           :     96 records (latest: 2025-08-28 11:51:46.004584)
2025-08-28 11:51:46 | INFO     | lib.data_store:print_summary:213 | activeAssetCtx                :    116 records (latest: 2025-08-28 11:51:46.044172)
2025-08-28 11:51:46 | INFO     | lib.data_store:print_summary:213 | activeAssetData               :     13 records (latest: 2025-08-28 11:51:45.456324)
2025-08-28 11:51:46 | INFO     | lib.data_store:print_summary:216 | ============================================================
2025-08-28 11:51:56 | INFO     | lib.data_store:print_summary:208 | Subscription Data Summary:
2025-08-28 11:51:56 | INFO     | lib.data_store:print_summary:209 | ============================================================
2025-08-28 11:51:56 | INFO     | lib.data_store:print_summary:213 | allMids                       :     65 records (latest: 2025-08-28 11:51:54.399694)
2025-08-28 11:51:56 | INFO     | lib.data_store:print_summary:213 | l2Book                        :    116 records (latest: 2025-08-28 11:51:55.129550)
2025-08-28 11:51:56 | INFO     | lib.data_store:print_summary:213 | trades                        :      1 records (latest: 2025-08-28 11:50:46.885586)
2025-08-28 11:51:56 | INFO     | lib.data_store:print_summary:215 | userEvents                    :      0 records
2025-08-28 11:51:56 | INFO     | lib.data_store:print_summary:215 | userFills                     :      0 records
2025-08-28 11:51:56 | INFO     | lib.data_store:print_summary:213 | candle                        :      3 records (latest: 2025-08-28 11:51:54.632857)
2025-08-28 11:51:56 | INFO     | lib.data_store:print_summary:215 | orderUpdates                  :      0 records
2025-08-28 11:51:56 | INFO     | lib.data_store:print_summary:213 | userFundings                  :      1 records (latest: 2025-08-28 11:50:46.888956)
2025-08-28 11:51:56 | INFO     | lib.data_store:print_summary:213 | userNonFundingLedgerUpdates   :      1 records (latest: 2025-08-28 11:50:46.891072)
2025-08-28 11:51:56 | INFO     | lib.data_store:print_summary:213 | webData2                      :     15 records (latest: 2025-08-28 11:51:56.411794)
2025-08-28 11:51:56 | INFO     | lib.data_store:print_summary:213 | bbo                           :    115 records (latest: 2025-08-28 11:51:56.421340)
2025-08-28 11:51:56 | INFO     | lib.data_store:print_summary:213 | activeAssetCtx                :    134 records (latest: 2025-08-28 11:51:56.419652)
2025-08-28 11:51:56 | INFO     | lib.data_store:print_summary:213 | activeAssetData               :     15 records (latest: 2025-08-28 11:51:55.630611)
2025-08-28 11:51:56 | INFO     | lib.data_store:print_summary:216 | ============================================================
2025-08-28 11:52:06 | INFO     | lib.data_store:print_summary:208 | Subscription Data Summary:
2025-08-28 11:52:06 | INFO     | lib.data_store:print_summary:209 | ============================================================
2025-08-28 11:52:06 | INFO     | lib.data_store:print_summary:213 | allMids                       :     75 records (latest: 2025-08-28 11:52:05.104809)
2025-08-28 11:52:06 | INFO     | lib.data_store:print_summary:213 | l2Book                        :    133 records (latest: 2025-08-28 11:52:05.352939)
2025-08-28 11:52:06 | INFO     | lib.data_store:print_summary:213 | trades                        :      1 records (latest: 2025-08-28 11:50:46.885586)
2025-08-28 11:52:06 | INFO     | lib.data_store:print_summary:215 | userEvents                    :      0 records
2025-08-28 11:52:06 | INFO     | lib.data_store:print_summary:215 | userFills                     :      0 records
2025-08-28 11:52:06 | INFO     | lib.data_store:print_summary:213 | candle                        :      4 records (latest: 2025-08-28 11:52:00.094306)
2025-08-28 11:52:06 | INFO     | lib.data_store:print_summary:215 | orderUpdates                  :      0 records
2025-08-28 11:52:06 | INFO     | lib.data_store:print_summary:213 | userFundings                  :      1 records (latest: 2025-08-28 11:50:46.888956)
2025-08-28 11:52:06 | INFO     | lib.data_store:print_summary:213 | userNonFundingLedgerUpdates   :      1 records (latest: 2025-08-28 11:50:46.891072)
2025-08-28 11:52:06 | INFO     | lib.data_store:print_summary:213 | webData2                      :     16 records (latest: 2025-08-28 11:52:02.576657)
2025-08-28 11:52:06 | INFO     | lib.data_store:print_summary:213 | bbo                           :    134 records (latest: 2025-08-28 11:52:05.794381)
2025-08-28 11:52:06 | INFO     | lib.data_store:print_summary:213 | activeAssetCtx                :    152 records (latest: 2025-08-28 11:52:05.106972)
2025-08-28 11:52:06 | INFO     | lib.data_store:print_summary:213 | activeAssetData               :     17 records (latest: 2025-08-28 11:52:05.847101)
2025-08-28 11:52:06 | INFO     | lib.data_store:print_summary:216 | ============================================================
2025-08-28 11:52:16 | INFO     | lib.data_store:print_summary:208 | Subscription Data Summary:
2025-08-28 11:52:16 | INFO     | lib.data_store:print_summary:209 | ============================================================
2025-08-28 11:52:16 | INFO     | lib.data_store:print_summary:213 | allMids                       :     85 records (latest: 2025-08-28 11:52:15.731241)
2025-08-28 11:52:16 | INFO     | lib.data_store:print_summary:213 | l2Book                        :    151 records (latest: 2025-08-28 11:52:15.587612)
2025-08-28 11:52:16 | INFO     | lib.data_store:print_summary:213 | trades                        :      1 records (latest: 2025-08-28 11:50:46.885586)
2025-08-28 11:52:16 | INFO     | lib.data_store:print_summary:215 | userEvents                    :      0 records
2025-08-28 11:52:16 | INFO     | lib.data_store:print_summary:215 | userFills                     :      0 records
2025-08-28 11:52:16 | INFO     | lib.data_store:print_summary:213 | candle                        :      6 records (latest: 2025-08-28 11:52:11.965818)
2025-08-28 11:52:16 | INFO     | lib.data_store:print_summary:215 | orderUpdates                  :      0 records
2025-08-28 11:52:16 | INFO     | lib.data_store:print_summary:213 | userFundings                  :      1 records (latest: 2025-08-28 11:50:46.888956)
2025-08-28 11:52:16 | INFO     | lib.data_store:print_summary:213 | userNonFundingLedgerUpdates   :      1 records (latest: 2025-08-28 11:50:46.891072)
2025-08-28 11:52:16 | INFO     | lib.data_store:print_summary:213 | webData2                      :     18 records (latest: 2025-08-28 11:52:11.745017)
2025-08-28 11:52:16 | INFO     | lib.data_store:print_summary:213 | bbo                           :    155 records (latest: 2025-08-28 11:52:15.578542)
2025-08-28 11:52:16 | INFO     | lib.data_store:print_summary:213 | activeAssetCtx                :    172 records (latest: 2025-08-28 11:52:15.733477)
2025-08-28 11:52:16 | INFO     | lib.data_store:print_summary:213 | activeAssetData               :     19 records (latest: 2025-08-28 11:52:16.405041)
2025-08-28 11:52:16 | INFO     | lib.data_store:print_summary:216 | ============================================================
2025-08-28 11:52:26 | INFO     | lib.data_store:print_summary:208 | Subscription Data Summary:
2025-08-28 11:52:26 | INFO     | lib.data_store:print_summary:209 | ============================================================
2025-08-28 11:52:26 | INFO     | lib.data_store:print_summary:213 | allMids                       :     95 records (latest: 2025-08-28 11:52:26.033954)
2025-08-28 11:52:26 | INFO     | lib.data_store:print_summary:213 | l2Book                        :    169 records (latest: 2025-08-28 11:52:26.019370)
2025-08-28 11:52:26 | INFO     | lib.data_store:print_summary:213 | trades                        :      1 records (latest: 2025-08-28 11:50:46.885586)
2025-08-28 11:52:26 | INFO     | lib.data_store:print_summary:215 | userEvents                    :      0 records
2025-08-28 11:52:26 | INFO     | lib.data_store:print_summary:215 | userFills                     :      0 records
2025-08-28 11:52:26 | INFO     | lib.data_store:print_summary:213 | candle                        :      6 records (latest: 2025-08-28 11:52:11.965818)
2025-08-28 11:52:26 | INFO     | lib.data_store:print_summary:215 | orderUpdates                  :      0 records
2025-08-28 11:52:26 | INFO     | lib.data_store:print_summary:213 | userFundings                  :      1 records (latest: 2025-08-28 11:50:46.888956)
2025-08-28 11:52:26 | INFO     | lib.data_store:print_summary:213 | userNonFundingLedgerUpdates   :      1 records (latest: 2025-08-28 11:50:46.891072)
2025-08-28 11:52:26 | INFO     | lib.data_store:print_summary:213 | webData2                      :     20 records (latest: 2025-08-28 11:52:22.341207)
2025-08-28 11:52:26 | INFO     | lib.data_store:print_summary:213 | bbo                           :    168 records (latest: 2025-08-28 11:52:26.006684)
2025-08-28 11:52:26 | INFO     | lib.data_store:print_summary:213 | activeAssetCtx                :    192 records (latest: 2025-08-28 11:52:26.037053)
2025-08-28 11:52:26 | INFO     | lib.data_store:print_summary:213 | activeAssetData               :     20 records (latest: 2025-08-28 11:52:21.578061)
2025-08-28 11:52:26 | INFO     | lib.data_store:print_summary:216 | ============================================================
2025-08-28 11:52:36 | INFO     | lib.data_store:print_summary:208 | Subscription Data Summary:
2025-08-28 11:52:36 | INFO     | lib.data_store:print_summary:209 | ============================================================
2025-08-28 11:52:36 | INFO     | lib.data_store:print_summary:213 | allMids                       :    104 records (latest: 2025-08-28 11:52:35.775745)
2025-08-28 11:52:36 | INFO     | lib.data_store:print_summary:213 | l2Book                        :    186 records (latest: 2025-08-28 11:52:35.910905)
2025-08-28 11:52:36 | INFO     | lib.data_store:print_summary:213 | trades                        :      1 records (latest: 2025-08-28 11:50:46.885586)
2025-08-28 11:52:36 | INFO     | lib.data_store:print_summary:215 | userEvents                    :      0 records
2025-08-28 11:52:36 | INFO     | lib.data_store:print_summary:215 | userFills                     :      0 records
2025-08-28 11:52:36 | INFO     | lib.data_store:print_summary:213 | candle                        :      7 records (latest: 2025-08-28 11:52:35.012890)
2025-08-28 11:52:36 | INFO     | lib.data_store:print_summary:215 | orderUpdates                  :      0 records
2025-08-28 11:52:36 | INFO     | lib.data_store:print_summary:213 | userFundings                  :      1 records (latest: 2025-08-28 11:50:46.888956)
2025-08-28 11:52:36 | INFO     | lib.data_store:print_summary:213 | userNonFundingLedgerUpdates   :      1 records (latest: 2025-08-28 11:50:46.891072)
2025-08-28 11:52:36 | INFO     | lib.data_store:print_summary:213 | webData2                      :     22 records (latest: 2025-08-28 11:52:32.786349)
2025-08-28 11:52:36 | INFO     | lib.data_store:print_summary:213 | bbo                           :    184 records (latest: 2025-08-28 11:52:35.146834)
2025-08-28 11:52:36 | INFO     | lib.data_store:print_summary:213 | activeAssetCtx                :    210 records (latest: 2025-08-28 11:52:35.778318)
2025-08-28 11:52:36 | INFO     | lib.data_store:print_summary:213 | activeAssetData               :     22 records (latest: 2025-08-28 11:52:32.010256)
2025-08-28 11:52:36 | INFO     | lib.data_store:print_summary:216 | ============================================================
2025-08-28 11:52:46 | INFO     | lib.data_store:print_summary:208 | Subscription Data Summary:
2025-08-28 11:52:46 | INFO     | lib.data_store:print_summary:209 | ============================================================
2025-08-28 11:52:46 | INFO     | lib.data_store:print_summary:213 | allMids                       :    114 records (latest: 2025-08-28 11:52:46.451212)
2025-08-28 11:52:46 | INFO     | lib.data_store:print_summary:213 | l2Book                        :    204 records (latest: 2025-08-28 11:52:46.425913)
2025-08-28 11:52:46 | INFO     | lib.data_store:print_summary:213 | trades                        :      1 records (latest: 2025-08-28 11:50:46.885586)
2025-08-28 11:52:46 | INFO     | lib.data_store:print_summary:215 | userEvents                    :      0 records
2025-08-28 11:52:46 | INFO     | lib.data_store:print_summary:215 | userFills                     :      0 records
2025-08-28 11:52:46 | INFO     | lib.data_store:print_summary:213 | candle                        :      8 records (latest: 2025-08-28 11:52:40.711598)
2025-08-28 11:52:46 | INFO     | lib.data_store:print_summary:215 | orderUpdates                  :      0 records
2025-08-28 11:52:46 | INFO     | lib.data_store:print_summary:213 | userFundings                  :      1 records (latest: 2025-08-28 11:50:46.888956)
2025-08-28 11:52:46 | INFO     | lib.data_store:print_summary:213 | userNonFundingLedgerUpdates   :      1 records (latest: 2025-08-28 11:50:46.891072)
2025-08-28 11:52:46 | INFO     | lib.data_store:print_summary:213 | webData2                      :     24 records (latest: 2025-08-28 11:52:42.351570)
2025-08-28 11:52:46 | INFO     | lib.data_store:print_summary:213 | bbo                           :    199 records (latest: 2025-08-28 11:52:44.148937)
2025-08-28 11:52:46 | INFO     | lib.data_store:print_summary:213 | activeAssetCtx                :    230 records (latest: 2025-08-28 11:52:46.452851)
2025-08-28 11:52:46 | INFO     | lib.data_store:print_summary:213 | activeAssetData               :     24 records (latest: 2025-08-28 11:52:41.783589)
2025-08-28 11:52:46 | INFO     | lib.data_store:print_summary:216 | ============================================================
2025-08-28 11:52:56 | INFO     | lib.data_store:print_summary:208 | Subscription Data Summary:
2025-08-28 11:52:56 | INFO     | lib.data_store:print_summary:209 | ============================================================
2025-08-28 11:52:56 | INFO     | lib.data_store:print_summary:213 | allMids                       :    122 records (latest: 2025-08-28 11:52:55.182542)
2025-08-28 11:52:56 | INFO     | lib.data_store:print_summary:213 | l2Book                        :    220 records (latest: 2025-08-28 11:52:56.055705)
2025-08-28 11:52:56 | INFO     | lib.data_store:print_summary:213 | trades                        :      1 records (latest: 2025-08-28 11:50:46.885586)
2025-08-28 11:52:56 | INFO     | lib.data_store:print_summary:215 | userEvents                    :      0 records
2025-08-28 11:52:56 | INFO     | lib.data_store:print_summary:215 | userFills                     :      0 records
2025-08-28 11:52:56 | INFO     | lib.data_store:print_summary:213 | candle                        :      9 records (latest: 2025-08-28 11:52:52.687609)
2025-08-28 11:52:56 | INFO     | lib.data_store:print_summary:215 | orderUpdates                  :      0 records
2025-08-28 11:52:56 | INFO     | lib.data_store:print_summary:213 | userFundings                  :      1 records (latest: 2025-08-28 11:50:46.888956)
2025-08-28 11:52:56 | INFO     | lib.data_store:print_summary:213 | userNonFundingLedgerUpdates   :      1 records (latest: 2025-08-28 11:50:46.891072)
2025-08-28 11:52:56 | INFO     | lib.data_store:print_summary:213 | webData2                      :     26 records (latest: 2025-08-28 11:52:52.561959)
2025-08-28 11:52:56 | INFO     | lib.data_store:print_summary:213 | bbo                           :    214 records (latest: 2025-08-28 11:52:55.806490)
2025-08-28 11:52:56 | INFO     | lib.data_store:print_summary:213 | activeAssetCtx                :    246 records (latest: 2025-08-28 11:52:55.184136)
2025-08-28 11:52:56 | INFO     | lib.data_store:print_summary:213 | activeAssetData               :     26 records (latest: 2025-08-28 11:52:51.988637)
2025-08-28 11:52:56 | INFO     | lib.data_store:print_summary:216 | ============================================================
2025-08-28 11:53:06 | INFO     | lib.data_store:print_summary:208 | Subscription Data Summary:
2025-08-28 11:53:06 | INFO     | lib.data_store:print_summary:209 | ============================================================
2025-08-28 11:53:06 | INFO     | lib.data_store:print_summary:213 | allMids                       :    132 records (latest: 2025-08-28 11:53:06.091167)
2025-08-28 11:53:06 | INFO     | lib.data_store:print_summary:213 | l2Book                        :    237 records (latest: 2025-08-28 11:53:06.076993)
2025-08-28 11:53:06 | INFO     | lib.data_store:print_summary:213 | trades                        :      1 records (latest: 2025-08-28 11:50:46.885586)
2025-08-28 11:53:06 | INFO     | lib.data_store:print_summary:215 | userEvents                    :      0 records
2025-08-28 11:53:06 | INFO     | lib.data_store:print_summary:215 | userFills                     :      0 records
2025-08-28 11:53:06 | INFO     | lib.data_store:print_summary:213 | candle                        :      9 records (latest: 2025-08-28 11:52:52.687609)
2025-08-28 11:53:06 | INFO     | lib.data_store:print_summary:215 | orderUpdates                  :      0 records
2025-08-28 11:53:06 | INFO     | lib.data_store:print_summary:213 | userFundings                  :      1 records (latest: 2025-08-28 11:50:46.888956)
2025-08-28 11:53:06 | INFO     | lib.data_store:print_summary:213 | userNonFundingLedgerUpdates   :      1 records (latest: 2025-08-28 11:50:46.891072)
2025-08-28 11:53:06 | INFO     | lib.data_store:print_summary:213 | webData2                      :     28 records (latest: 2025-08-28 11:53:02.931367)
2025-08-28 11:53:06 | INFO     | lib.data_store:print_summary:213 | bbo                           :    233 records (latest: 2025-08-28 11:53:06.069928)
2025-08-28 11:53:06 | INFO     | lib.data_store:print_summary:213 | activeAssetCtx                :    266 records (latest: 2025-08-28 11:53:06.093472)
2025-08-28 11:53:06 | INFO     | lib.data_store:print_summary:213 | activeAssetData               :     28 records (latest: 2025-08-28 11:53:02.234381)
2025-08-28 11:53:06 | INFO     | lib.data_store:print_summary:216 | ============================================================
2025-08-28 11:53:16 | INFO     | lib.data_store:print_summary:208 | Subscription Data Summary:
2025-08-28 11:53:16 | INFO     | lib.data_store:print_summary:209 | ============================================================
2025-08-28 11:53:16 | INFO     | lib.data_store:print_summary:213 | allMids                       :    141 records (latest: 2025-08-28 11:53:15.654585)
2025-08-28 11:53:16 | INFO     | lib.data_store:print_summary:213 | l2Book                        :    254 records (latest: 2025-08-28 11:53:16.012580)
2025-08-28 11:53:16 | INFO     | lib.data_store:print_summary:213 | trades                        :      1 records (latest: 2025-08-28 11:50:46.885586)
2025-08-28 11:53:16 | INFO     | lib.data_store:print_summary:215 | userEvents                    :      0 records
2025-08-28 11:53:16 | INFO     | lib.data_store:print_summary:215 | userFills                     :      0 records
2025-08-28 11:53:16 | INFO     | lib.data_store:print_summary:213 | candle                        :     11 records (latest: 2025-08-28 11:53:09.028232)
2025-08-28 11:53:16 | INFO     | lib.data_store:print_summary:215 | orderUpdates                  :      0 records
2025-08-28 11:53:16 | INFO     | lib.data_store:print_summary:213 | userFundings                  :      1 records (latest: 2025-08-28 11:50:46.888956)
2025-08-28 11:53:16 | INFO     | lib.data_store:print_summary:213 | userNonFundingLedgerUpdates   :      1 records (latest: 2025-08-28 11:50:46.891072)
